iter	Passed	Remaining
417	2746	1557
418	2753	1550
419	2759	1543
420	2765	1537
421	2771	1530
422	2778	1523
423	2785	1517
424	2792	1511
425	2799	1504
426	2806	1498
427	2813	1492
428	2820	1485
429	2827	1479
430	2833	1472
431	2840	1466
432	2847	1459
433	2854	1453
434	2860	1446
435	2867	1440
436	2873	1433
437	2880	1426
438	2886	1420
439	2892	1413
440	2899	1407
441	2906	1400
442	2913	1394
443	2920	1387
444	2926	1381
445	2933	1374
446	2940	1368
447	2946	1361
448	2953	1355
449	2960	1348
450	2966	1341
451	2973	1335
452	2980	1329
453	2987	1322
454	2994	1316
455	3001	1309
456	3007	1303
457	3014	1296
458	3021	1290
459	3029	1284
460	3036	1277
461	3042	1271
462	3049	1264
463	3056	1258
464	3062	1251
465	3069	1244
466	3075	1238
467	3082	1231
468	3088	1224
469	3095	1218
470	3102	1212
471	3109	1205
472	3115	1198
473	3122	1192
474	3128	1185
475	3135	1179
476	3141	1172
477	3148	1165
478	3154	1159
479	3161	1152
480	3167	1145
481	3173	1139
482	3180	1132
483	3186	1125
484	3193	1119
485	3200	1112
486	3207	1106
487	3213	1099
488	3220	1093
489	3227	1086
490	3234	1080
491	3240	1073
492	3247	1067
493	3253	1060
494	3260	1053
495	3266	1047
496	3272	1040
497	3278	1033
498	3285	1027
499	3291	1020
500	3298	1013
501	3300	1005
502	3306	999
503	3312	992
504	3319	985
505	3325	979
506	3332	972
507	3338	966
508	3344	959
509	3351	952
510	3358	946
511	3364	939
512	3370	932
513	3376	926
514	3382	919
515	3389	912
516	3395	906
517	3402	899
518	3408	893
519	3414	886
520	3420	879
521	3426	873
522	3432	866
523	3439	859
524	3445	853
525	3452	846
526	3459	840
527	3465	833
528	3472	827
529	3478	820
530	3485	813
531	3492	807
532	3499	800
533	3505	794
534	3512	787
535	3519	781
536	3526	774
537	3533	768
538	3539	761
539	3547	755
540	3553	748
541	3559	742
542	3565	735
543	3572	728
544	3578	722
545	3585	715
546	3592	709
547	3598	702
548	3605	696
549	3612	689
550	3618	682
551	3625	676
552	3631	669
553	3638	663
554	3645	656
555	3651	650
556	3658	643
557	3664	636
558	3670	630
559	3677	623
560	3683	617
561	3689	610
562	3696	604
563	3702	597
564	3709	590
565	3715	584
566	3721	577
567	3728	571
568	3734	564
569	3741	557
570	3747	551
571	3753	544
572	3759	537
573	3765	531
574	3772	524
575	3779	518
576	3786	511
577	3792	505
578	3799	498
579	3806	492
580	3812	485
581	3819	479
582	3826	472
583	3833	466
584	3839	459
585	3845	452
586	3852	446
587	3858	439
588	3864	433
589	3871	426
590	3877	419
591	3884	413
592	3891	406
593	3897	400
594	3904	393
595	3911	387
596	3918	380
597	3924	374
598	3931	367
599	3938	361
600	3945	354
601	3950	347
602	3957	341
603	3963	334
604	3970	328
605	3977	321
606	3983	315
607	3990	308
608	3997	301
609	4004	295
610	4010	288
611	4017	282
612	4019	275
613	4026	268
614	4033	262
615	4039	255
616	4046	249
617	4052	242
618	4059	236
619	4065	229
620	4071	222
621	4077	216
622	4084	209
623	4090	203
624	4097	196
625	4103	190
626	4110	183
627	4116	176
628	4122	170
629	4129	163
630	4136	157
631	4142	150
632	4149	144
633	4155	137
634	4161	131
635	4168	124
636	4174	117
637	4181	111
638	4188	104
639	4195	98
640	4201	91
641	4208	85
642	4214	78
643	4221	72
644	4228	65
645	4234	58
646	4241	52
647	4247	45
648	4254	39
649	4261	32
650	4268	26
651	4275	19
652	4282	13
653	4288	6
654	4295	0
